2024-03-18 13:42:13,386 INFO    MainThread:82897 [wandb_setup.py:_flush():76] Current SDK version is 0.16.4
2024-03-18 13:42:13,387 INFO    MainThread:82897 [wandb_setup.py:_flush():76] Configure stats pid to 82897
2024-03-18 13:42:13,387 INFO    MainThread:82897 [wandb_setup.py:_flush():76] Loading settings from /home/tzikos/.config/wandb/settings
2024-03-18 13:42:13,387 INFO    MainThread:82897 [wandb_setup.py:_flush():76] Loading settings from /home/tzikos/Desktop/KULeuvenThesis/wandb/settings
2024-03-18 13:42:13,387 INFO    MainThread:82897 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-18 13:42:13,387 INFO    MainThread:82897 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-18 13:42:13,387 INFO    MainThread:82897 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/home/tzikos/Desktop/KULeuvenThesis/main.py', 'program': '/home/tzikos/Desktop/KULeuvenThesis/main.py'}
2024-03-18 13:42:13,387 INFO    MainThread:82897 [wandb_init.py:_log_setup():526] Logging user logs to /home/tzikos/Desktop/KULeuvenThesis/wandb/run-20240318_134213-6kftfdhs/logs/debug.log
2024-03-18 13:42:13,387 INFO    MainThread:82897 [wandb_init.py:_log_setup():527] Logging internal logs to /home/tzikos/Desktop/KULeuvenThesis/wandb/run-20240318_134213-6kftfdhs/logs/debug-internal.log
2024-03-18 13:42:13,388 INFO    MainThread:82897 [wandb_init.py:init():566] calling init triggers
2024-03-18 13:42:13,388 INFO    MainThread:82897 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'learning_rate_PTB': 3e-07, 'learning_rate_BERT': 1e-06, 'batch_size': 64, 'L1': 0.0001, 'L2': 0.0001, 'epochs': 1000, 'early_patience': 12, 'reduce_lr_patience': 5, 'architecture': 'ECGCNNClassifier', 'experiment': 'pre', 'pretrain': False, 'finetune': True, 'classes_PTB': 5, 'use_pretrained': True}
2024-03-18 13:42:13,388 INFO    MainThread:82897 [wandb_init.py:init():616] starting backend
2024-03-18 13:42:13,388 INFO    MainThread:82897 [wandb_init.py:init():620] setting up manager
2024-03-18 13:42:13,390 INFO    MainThread:82897 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-18 13:42:13,394 INFO    MainThread:82897 [wandb_init.py:init():628] backend started and connected
2024-03-18 13:42:13,403 INFO    MainThread:82897 [wandb_init.py:init():720] updated telemetry
2024-03-18 13:42:13,410 INFO    MainThread:82897 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-18 13:42:13,830 INFO    MainThread:82897 [wandb_run.py:_on_init():2262] communicating current version
2024-03-18 13:42:13,917 INFO    MainThread:82897 [wandb_run.py:_on_init():2271] got version response 
2024-03-18 13:42:13,917 INFO    MainThread:82897 [wandb_init.py:init():804] starting run threads in backend
2024-03-18 13:42:16,932 INFO    MainThread:82897 [wandb_run.py:_console_start():2241] atexit reg
2024-03-18 13:42:16,932 INFO    MainThread:82897 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-18 13:42:16,932 INFO    MainThread:82897 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-18 13:42:16,932 INFO    MainThread:82897 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-18 13:42:16,933 INFO    MainThread:82897 [wandb_init.py:init():847] run started, returning control to user process
2024-03-18 14:31:53,869 INFO    MainThread:82897 [wandb_run.py:_finish():1970] finishing run kuthesis/KU AI Thesis/6kftfdhs
2024-03-18 14:31:53,869 INFO    MainThread:82897 [wandb_run.py:_atexit_cleanup():2210] got exitcode: 0
2024-03-18 14:31:53,870 INFO    MainThread:82897 [wandb_run.py:_restore():2193] restore
2024-03-18 14:31:53,870 INFO    MainThread:82897 [wandb_run.py:_restore():2199] restore done
2024-03-18 14:32:04,182 INFO    MainThread:82897 [wandb_run.py:_footer_history_summary_info():3851] rendering history
2024-03-18 14:32:04,185 INFO    MainThread:82897 [wandb_run.py:_footer_history_summary_info():3883] rendering summary
2024-03-18 14:32:04,190 INFO    MainThread:82897 [wandb_run.py:_footer_sync_info():3810] logging synced files
